record_id,age_bracket,region,employment_type,payment_type,ato_annual_income,ato_calculated_fortnightly,reported_fortnightly_income,actual_fortnightly_income,income_variance_score,debt_raised_flag,estimated_debt_amount
CL1000,18-24,Regional QLD,Permanent Full-Time,Youth Allowance,36730,1412.69,1509.6,1505.5,6.6,0,0.0
CL1001,25-34,Regional VIC,Casual,JobSeeker,32524,1250.92,130.5,129.34,89.7,1,560.21
CL1002,18-24,Regional VIC,Casual,Youth Allowance,26050,1001.92,1150.45,1155.82,15.4,0,0.0
CL1003,35-44,Metro - Brisbane,Permanent Full-Time,Disability Support,69524,2674.0,2737.99,2805.88,4.9,0,0.0
CL1004,18-24,Remote,Casual,JobSeeker,20534,789.77,369.2,378.77,52.0,1,210.28
CL1005,45-54,Metro - Brisbane,Seasonal,Parenting Payment,32947,1267.19,1105.93,1124.29,11.3,0,0.0
CL1006,55-64,Metro - Brisbane,Self-Employed,Disability Support,55673,2141.27,765.33,781.14,63.5,1,687.97
CL1007,55-64,Metro - Brisbane,Permanent Full-Time,JobSeeker,78957,3036.81,3140.29,3119.86,2.7,0,0.0
CL1008,25-34,Metro - Melbourne,Permanent Part-Time,JobSeeker,31840,1224.62,1367.99,1391.4,13.6,0,0.0
CL1009,25-34,Metro - Brisbane,Seasonal,Parenting Payment,21663,833.19,113.99,116.0,86.1,1,359.6
CL1010,35-44,Regional VIC,Seasonal,JobSeeker,26255,1009.81,1845.48,1871.89,85.4,0,0.0
CL1011,25-34,Metro - Melbourne,Casual,Youth Allowance,36108,1388.77,2327.06,2259.63,62.7,0,0.0
CL1012,18-24,Metro - Melbourne,Permanent Part-Time,JobSeeker,21808,838.77,786.89,780.92,6.9,0,0.0
CL1013,18-24,Remote,Seasonal,Youth Allowance,14604,561.69,771.02,768.57,36.8,0,0.0
CL1014,45-54,Metro - Sydney,Casual,JobSeeker,50699,1949.96,3035.08,3073.16,57.6,0,0.0
CL1015,55-64,Metro - Melbourne,Permanent Part-Time,Disability Support,37068,1425.69,1369.33,1336.25,6.3,0,0.0
CL1016,35-44,Remote,Seasonal,Parenting Payment,21854,840.54,999.85,973.36,15.8,0,0.0
CL1017,18-24,Regional VIC,Self-Employed,Youth Allowance,27797,1069.12,1059.47,1068.25,0.1,0,0.0
CL1018,25-34,Remote,Seasonal,JobSeeker,20053,771.27,299.11,293.54,61.9,1,236.08
CL1019,35-44,Remote,Seasonal,JobSeeker,27245,1047.88,289.37,287.53,72.6,1,379.26
CL1020,35-44,Metro - Melbourne,Self-Employed,Parenting Payment,64365,2475.58,1423.31,1434.2,42.1,1,526.13
CL1021,18-24,Regional VIC,Casual,JobSeeker,20082,772.38,1616.73,1665.99,115.7,0,0.0
CL1022,55-64,Regional QLD,Seasonal,JobSeeker,28663,1102.42,137.82,136.44,87.6,1,482.3
CL1023,45-54,Metro - Melbourne,Permanent Part-Time,Parenting Payment,44699,1719.19,1842.46,1871.32,8.8,0,0.0
CL1024,18-24,Regional NSW,Seasonal,JobSeeker,15685,603.27,1145.36,1129.83,87.3,0,0.0
CL1025,18-24,Regional QLD,Seasonal,Youth Allowance,17113,658.19,669.07,681.68,3.6,0,0.0
CL1026,25-34,Regional VIC,Casual,JobSeeker,30035,1155.19,2144.41,2098.9,81.7,0,0.0
CL1027,18-24,Regional VIC,Permanent Full-Time,Youth Allowance,35189,1353.42,1424.89,1447.79,7.0,0,0.0
CL1028,25-34,Regional NSW,Casual,JobSeeker,28172,1083.54,3296.29,3343.39,208.6,0,0.0
CL1029,35-44,Remote,Seasonal,JobSeeker,25685,987.88,2298.72,2300.56,132.9,0,0.0
CL1030,45-54,Metro - Melbourne,Permanent Full-Time,Disability Support,83848,3224.92,3424.37,3374.17,4.6,0,0.0
